Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"MacKenzie Gore","WSN",302.2,98.97654597885294,,,,100.69720139979995,103.60724891897827,87.16419540229884,,,102.51669679974317,98.87211054000127,102.81872920220616,"MacKenzie Gore",22201,669022
"Josh Fleming","- - -",83,126.23897435897435,90.0147663551402,110.39735294117645,,,100.39597624679102,104.28821052631578,,,101.92846264834675,98.99019997404235,102.79589224917447,"Josh Fleming",20418,676596
"David Festa","MIN",64.1,91.31470588235295,,,,104.25925501432664,,115.25941558441556,,,96.72889408926804,102.15789389981296,102.73931491972172,"David Festa",30056,701581
"José Ruiz","- - -",95.1,99.92454545454545,104.24936639118454,,,75.37272727272727,104.00281373361524,98.58641791044775,,,100.86168230980357,102.18495350863084,102.67724875966454,"Jose Ruiz",14552,614179
"Miguel Díaz","- - -",15,97.36893617021276,87.43178571428572,,,84.11206896551724,,106.40280701754385,,,107.22602101095252,93.41849219273877,102.64235271577738,"Miguel Diaz",18815,622766
"Bryan Hoeing","- - -",124.1,116.9300680272109,100.3108519269777,,110.77828640109891,100.39361940298505,,102.8310344827586,,,100.96618451757007,102.28832355944674,102.64022330022605,"Bryan Hoeing",26304,663773
"Joe Mantiply","ARI",98.2,71.75394736842107,104.57561056105605,,,,96.14821520381933,94.91836512261582,,,105.32663355962224,98.03986399711395,102.63065961563687,"Joe Mantiply",14857,573009
"Michael King","- - -",278.1,108.71027777777778,107.26681751824817,,,90.92036886156959,,105.96215256008357,,,98.9523134298694,103.17956165138946,102.6095519824561,"Michael King",19853,650633
"Ricky Vanasco","- - -",4,106.03655172413792,,69.4,,81.65599999999999,126.41777777777777,,,,90.26831275720166,106.10169547325103,102.59522633744855,"Ricky Vanasco",23391,676568
"John Brebbia","- - -",93.2,101.03176020408162,,,,109.68634812286687,,32.052,,,100.36398848527907,105.41220750056128,102.57941804034458,"John Brebbia",12777,605154
"Mason Englert","DET",77.2,104.0114652956298,87.36631578947369,92.95039999999999,,113.49485424111342,99.527637987013,121.12370165745854,,,88.62166196070133,110.38508923551768,102.57628180480286,"Mason Englert",22288,669438
"Christian Scott","NYM",47.1,105.40346153846153,,,97.9270731707317,96.50972222222224,,,,,100.28157961783437,101.3523566878981,102.51903184713377,"Christian Scott",30107,681035
"Hunter Brown","HOU",325.2,96.11827937915744,101.49269303201508,102.69971681415929,,100.59913308026856,,101.30308539944903,100.80246520874752,,101.6972213975764,99.37243958406226,102.48743912820014,"Hunter Brown",25880,686613
"J.C. Mejía","MIL",11.1,137.48666666666668,103.80620689655171,,,76.87494505494506,,,,,113.01830188679247,93.10066037735851,102.4793396226415,"J.C. Mejia",20617,650496
"Brant Hurter","DET",45.1,106.79956521739132,112.02590769230768,,,84.64797979797977,,93.42552631578947,,,105.48894860547878,100.98705211178235,102.47426676597972,"Brant Hurter",30133,676428
"Erick Fedde","- - -",177.1,123.37333333333332,108.91544332210998,111.79685224839402,,105.62413338029954,,109.27978902953588,,,90.51984792259294,109.26676951118854,102.44536408634355,"Erick Fedde",17425,607200
"Austin Warren","- - -",12.1,101.61200000000001,96.18039215686277,104.27777777777777,,103.42487804878049,,85.76,,,105.46793367346939,100.86951530612247,102.36974064625849,"Austin Warren",24937,681810
